ACCTTYPE,IMPDESCRIPTION,EXT CONDITION,INT CONDITION,IMPQUALITY,AYB,EYB,IMPNETSF,BEDROOMCOUNT,BATHCOUNT,MaxOfCURR ACT,ECONOMICAREACODE
Residential,MANUFACTURED HOUSING,Average,,Fair,1973,1973,854.0,2.0,1.0,43960,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1972,1982,840.0,2.0,1.0,55040,8
Residential,Manufactured Housing,Below Average,,Fair,1971,1971,960.0,1.0,1.0,28740,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1980,1980,924.0,0.0,1.0,45410,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1981,1981,984.0,2.0,1.5,64470,8
Residential,Manufactured Housing,Average,,Fair,1980,1980,924.0,3.0,1.5,32430,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1972,1972,672.0,1.0,1.0,29180,8
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1976,1976,891.0,3.0,1.0,38360,1
Residential,Manufactured Housing,Average,,Fair,1981,1981,952.0,3.0,1.0,44550,1
Residential,Manufactured Housing,Below Average,,Fair,1983,1983,728.0,0.0,1.0,29980,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1973,1973,1178.0,2.0,1.7,87990,8
Residential,MANUFACTURED HOUSING,Average,,Low,1960,1970,860.0,1.0,1.0,76300,8
Residential,MANUFACTURED HOUSING,Average,,Average,1967,1969,738.0,2.0,1.0,40290,8
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1984,1984,791.0,3.0,1.5,34060,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1968,1970,891.0,3.0,1.5,53000,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1979,1979,924.0,2.0,1.0,47570,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1972,1974,891.0,3.0,1.5,36690,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1977,1977,702.0,2.0,1.0,28910,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1980,1985,728.0,2.0,1.0,37480,1
Residential,Manufactured Housing,Average,,Fair,1977,1977,728.0,2.0,1.0,47700,8
Residential,MANUFACTURED HOUSING,Average,,Fair,1970,1975,678.0,2.0,1.0,32970,8
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1973,1973,910.0,2.0,1.7,34070,1
Residential,MANUFACTURED HOUSING,Average,,Low,1966,1966,540.0,0.0,1.0,47910,8
Residential,MANUFACTURED HOUSING,Average,,Average,1965,1977,785.0,2.0,1.0,42860,8
Residential,MANUFACTURED HOUSING,Average,,Fair,1972,1972,864.0,0.0,2.0,56610,8
Residential,MANUFACTURED HOUSING,Average,,Low,1966,1966,470.0,0.0,1.0,32760,1
Residential,Manufactured Housing,Average,,Average,1968,1980,672.0,1.0,1.0,31400,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1972,1972,644.0,2.0,1.0,28130,8
Residential,MANUFACTURED HOUSING,Good,,Good,1971,1986,732.0,2.0,2.0,45150,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1974,1974,784.0,2.0,1.0,36690,1
Residential,MANUFACTURED HOUSING,Average,,Average,1979,1979,1152.0,0.0,2.0,107080,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1978,1978,924.0,0.0,1.0,36320,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1978,1978,924.0,2.0,1.0,32430,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1977,1977,854.0,2.0,2.0,41280,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1973,1973,672.0,2.0,1.0,29350,8
Residential,Manufactured Housing,Average,,Fair,1972,1972,924.0,2.0,1.0,60540,8
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1972,1977,784.0,2.0,1.0,37430,8
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1971,1971,924.0,3.0,1.0,48430,8
Residential,MANUFACTURED HOUSING,Below Average,,Average,1982,1982,924.0,2.0,2.0,45410,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1965,1965,470.0,2.0,1.0,38490,8
Residential,Manufactured Housing,Below Average,,Fair,1973,1973,768.0,2.0,1.0,43610,8
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1973,1973,924.0,3.0,2.0,93410,2
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1971,1971,896.0,2.0,1.0,33550,1
Residential,Manufactured Housing,Average,,Fair,1979,1979,918.0,0.0,1.0,47260,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1976,1978,952.0,3.0,1.7,62380,8
Residential,MANUFACTURED HOUSING,Average,,Fair,1977,1977,1026.0,2.0,1.7,67220,8
Residential,MANUFACTURED HOUSING,Average,,Fair,1980,1980,938.0,2.0,1.0,43900,1
Residential,MANUFACTURED HOUSING,Average,,Average,1986,1986,1224.0,3.0,2.0,103430,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1979,1979,784.0,0.0,1.0,36690,1
Residential,MANUFACTURED HOUSING,Below Average,,Good,1987,1987,1224.0,3.0,1.7,143210,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1972,1974,898.0,2.0,1.0,35300,8
Residential,MANUFACTURED HOUSING,Average,,Average,1988,1988,1064.0,3.0,2.0,68470,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1985,1985,728.0,1.0,1.0,0,1
Residential,MANUFACTURED HOUSING,Good,,Good,1983,1993,1064.0,2.0,1.0,122050,8
Residential,Manufactured Housing,Average,,Fair,1980,1980,938.0,3.0,1.5,48290,1
Residential,MANUFACTURED HOUSING,Minimum,,Low,1950,1950,244.0,1.0,1.0,0,1
Residential,MANUFACTURED HOUSING,Average,,Average,1989,1989,1178.0,3.0,2.0,99540,1
Residential,MANUFACTURED HOUSING,Average,,Average,1988,1988,1080.0,3.0,2.0,139000,1
Residential,MANUFACTURED HOUSING,Average,,Good,1989,1992,1620.0,3.0,2.0,309120,8
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1979,1979,931.0,0.0,1.0,38340,1
Residential,Manufactured Housing,Average,,Fair,1973,1973,637.0,2.0,1.0,29810,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1978,1981,1026.0,3.0,2.0,48020,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1977,1977,702.0,2.0,1.0,46000,8
Residential,MANUFACTURED HOUSING,Average,,Fair,1976,1976,994.0,3.0,2.0,46520,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1980,1986,588.0,2.0,1.0,49660,8
Residential,Manufactured Housing,Average,,Average,1975,1982,1137.0,2.0,1.5,69840,8
Residential,MANUFACTURED HOUSING,Average,,Average,1990,1990,1200.0,3.0,2.0,101400,1
Residential,MANUFACTURED HOUSING,Average,,Average,1990,1990,784.0,2.0,1.5,64210,8
Residential,RANCH MANUFACTURED,Average,,Fair,1979,1979,700.0,2.0,1.0,34400,8
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1979,1979,891.0,2.0,2.0,33360,1
Residential,MANUFACTURED HOUSING,Average,,Low,1961,1966,520.0,2.0,1.0,47400,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1979,1979,898.0,0.0,1.5,33620,1
Residential,MANUFACTURED HOUSING,Average,,Average,1990,1990,1163.0,2.0,2.0,98270,1
Residential,MANUFACTURED HOUSING,Good,,Average,1991,1991,1178.0,3.0,2.0,124430,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1973,1979,924.0,3.0,1.5,47570,1
Residential,MANUFACTURED HOUSING,Average,,Average,1991,1991,1178.0,3.0,1.5,99540,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1978,1978,924.0,3.0,2.0,69710,8
Residential,MANUFACTURED HOUSING,Average,,Fair,1976,1976,897.0,2.0,1.0,58770,8
Residential,MANUFACTURED HOUSING,Average,,Fair,1971,1971,938.0,2.0,1.0,69220,8
Residential,MANUFACTURED HOUSING,Average,,Average,1991,1991,924.0,3.0,2.0,145950,2
Residential,MANUFACTURED HOUSING,Average,,Average,1975,1985,938.0,2.0,1.0,76820,8
Residential,MANUFACTURED HOUSING,Average,,Good,1991,1991,1512.0,3.0,2.0,221130,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1972,1972,720.0,2.0,1.0,31450,8
Residential,MANUFACTURED HOUSING,Average,,Average,1992,1992,1178.0,3.0,2.0,99540,1
Residential,MANUFACTURED HOUSING,Average,,Fair,1973,1973,931.0,3.0,1.7,47930,1
Residential,MANUFACTURED HOUSING,Below Average,,Low,1957,1970,430.0,2.0,1.0,29140,1
Residential,Manufactured Housing,Average,,Fair,1980,1980,1054.0,3.0,1.5,99750,8
Residential,Manufactured Housing,Average,,Fair,1973,1973,898.0,3.0,1.0,58840,8
Residential,MANUFACTURED HOUSING,Average,,Fair,1980,1982,891.0,3.0,2.0,58380,8
Residential,MANUFACTURED HOUSING,Average,,Fair,1979,1979,924.0,3.0,1.5,60540,8
Residential,Manufactured Housing,Average,,Average,1983,1993,1104.0,3.0,2.0,93290,1
Residential,Manufactured Housing,Average,,Average,1993,1993,891.0,3.0,2.0,57340,1
Residential,MANUFACTURED HOUSING,Average,,Average,1993,1998,1071.0,3.0,2.0,169160,2
Residential,MANUFACTURED HOUSING,Average,,Average,1993,1993,702.0,2.0,1.0,43120,8
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1972,1972,644.0,2.0,1.0,29650,8
Residential,Manufactured Housing,Average,,Fair,1979,1979,728.0,2.0,1.0,37480,1
Residential,MANUFACTURED HOUSING,Average,,Average,1993,1993,1178.0,3.0,2.0,139360,8
Residential,MANUFACTURED HOUSING,Average,,Good,1989,1989,1484.0,3.0,2.0,227890,1
Residential,MANUFACTURED HOUSING,Below Average,,Fair,1973,1974,924.0,3.0,2.0,39780,1
Residential,MANUFACTURED HOUSING,Average,,Average,1974,1974,1715.0,2.0,2.0,200660,1
Residential,Manufactured Housing,Average,,Average,1993,1993,1023.0,3.0,2.0,95090,1
